,Name,ReleaseYear,Duration_min,NumberOfRatings,NumberOfReviews,NumberOfCriticReviews,Rating
113,Foodfight!,2012,91,10000,141,15,1.6
114,Race 3,2018,160,44000,462,24,1.9
115,Daniel the Wizard,2004,81,14000,48,15,1.7
116,From Justin to Kelly,2003,81,26000,313,63,2.1
117,Going Overboard,1989,99,13000,170,19,1.8
118,Alone in the Dark,2005,96,45000,541,157,2.4
119,Battlefield Earth,2000,118,79000,1400,123,2.5
120,Dragonball Evolution,2009,85,72000,603,144,2.5
121,Gigli,2003,121,48000,434,130,2.5
122,Glitter,2001,104,23000,331,75,2.3
123,Coolie No. 1,2020,134,72000,2900,25,3.4
124,Meet the Spartans,2008,87,106000,440,114,2.8
125,Enes Batur,2018,110,55000,44,5,3.9
126,Cats,2019,110,46000,2100,249,2.7
127,Date Movie,2006,83,58000,627,103,2.8
128,Baby Geniuses,1999,97,26000,194,50,2.7
129,Hobgoblins,1988,88,13000,213,44,2.3
130,Who's Your Caddy?,2007,93,15000,54,26,2.2
131,The Human Centipede III (Final Sequence),2015,102,16000,149,120,2.7
132,Jaws: The Revenge,1987,89,44000,471,109,3.0
133,BloodRayne,2005,95,35000,494,79,2.9
134,Troll 2,1990,95,32000,480,154,2.9
135,Smolensk,2016,120,38000,308,1,1.1
136,Tees Maar Khan,2010,135,12000,120,28,2.6
137,Left Behind,2014,110,38000,643,177,3.1
138,Santa Claus Conquers the Martians,1964,81,11000,253,81,2.7
139,Student of the Year 2,2019,146,20000,332,18,2.2
140,Gunday,2014,152,59000,892,22,2.4
141,Kazaam,1996,93,24000,108,23,3.0
142,365 Days,2020,114,65000,1300,49,3.3
143,Rollerball,2002,98,28000,305,159,3.1
144,Steel,1997,97,12000,71,57,2.9
145,Jack and Jill,2011,91,81000,388,168,3.3
146,Slender Man,2018,93,31000,736,139,3.2
147,Laxmii,2020,141,55000,4700,23,2.4
148,Catwoman,2004,104,114000,752,134,3.4
149,The Emoji Movie,2017,86,60000,915,162,3.3
150,The Starving Games,2013,83,20000,78,45,3.2
151,The Open House,2018,94,33000,1300,52,3.2
152,Vampires Suck,2010,82,48000,203,122,3.4
153,Daddy Day Camp,2007,93,16000,48,56,3.2
154,Far Cry,2008,95,14000,90,54,3.1
155,3 Ninjas: High Noon at Mega Mountain,1998,93,13000,71,8,3.0
156,Baaghi 3,2020,143,11000,474,20,2.1
157,Bratz,2007,110,23000,122,61,3.1
158,Gully,2019,84,17000,15,12,1.2
159,Barb Wire,1996,98,27000,113,91,3.4
160,Texas Chainsaw Massacre: The Next Generation,1994,87,21000,299,70,3.3
161,Dumb and Dumberer: When Harry Met Lloyd,2003,85,39000,279,87,3.4
162,Hercules in New York,1970,92,18000,151,50,3.3
163,The Master of Disguise,2002,80,24000,339,52,3.4
164,Scary Movie V,2013,86,68000,227,161,3.5
165,Feardotcom,2002,101,21000,426,105,3.4
166,Bucky Larson: Born to Be a Star,2011,97,12000,82,50,3.2
167,Spy Kids 4-D: All the Time in the World,2011,89,24000,98,76,3.5
168,Breach,2020,92,16000,730,42,3.0
169,Captain America,1990,97,12000,137,93,3.2
170,The NeverEnding Story III,1994,95,12000,105,15,3.2
171,Spice World,1997,93,35000,274,39,3.5
172,Police Academy: Mission to Moscow,1994,83,33000,123,26,3.5
173,Crossroads,2002,93,39000,585,66,3.6
174,The Room,2003,99,85000,692,114,3.7
175,Fifty Shades of Black,2016,92,21000,95,79,3.5
176,Dabangg 3,2019,160,17000,542,25,3.0
177,Black Christmas,2019,92,14000,374,125,3.4
178,Mortal Kombat: Annihilation,1997,95,53000,323,76,3.7
179,Dragon Wars: D-War,2007,107,24000,373,100,3.5
180,Jaws 3-D,1983,99,42000,332,95,3.7
181,Mac and Me,1988,99,14000,154,50,3.4
182,Batman & Robin,1997,125,240000,1100,222,3.8
183,The Adventures of Sharkboy and Lavagirl 3-D,2005,93,35000,258,71,3.7
184,I Know Who Killed Me,2007,105,29000,285,146,3.6
185,The Wicker Man,2006,102,66000,798,196,3.7
186,Superman IV: The Quest for Peace,1987,90,46000,313,116,3.7
187,The Fog,2005,100,36000,488,146,3.7
188,Dungeons & Dragons,2000,107,33000,613,120,3.7
189,Piranha 3DD,2012,83,41000,206,253,3.7
190,Teen Wolf Too,1987,95,12000,78,44,3.4
191,Recep Ivedik 5,2017,114,15000,17,0,3.3
192,The Hungover Games,2014,85,14000,62,13,3.5
193,The Flintstones in Viva Rock Vegas,2000,90,23000,104,56,3.7
194,The Love Guru,2008,87,52000,302,151,3.8
195,Street Fighter: The Legend of Chun-Li,2009,96,24000,199,100,3.7
196,Stan Helsing,2009,108,13000,92,48,3.6
197,In the Name of the King: A Dungeon Siege Tale,2007,127,48000,416,148,3.8
198,The Human Centipede II (Full Sequence),2011,91,37000,288,195,3.8
199,S. Darko,2009,103,14000,125,88,3.6
