,Name,ReleaseYear,Duration_min,NumberOfRatings,NumberOfReviews,NumberOfCriticReviews,Rating
113,Almost Famous,2000,122,264000,907,170,7.9
114,Reservoir Dogs,1992,99,953000,1200,197,8.3
115,Spider-Man: Into the Spider-Verse,2018,117,420000,2000,414,8.4
116,The Game,1997,129,366000,740,179,7.7
117,True Romance,1993,119,216000,577,149,7.9
118,300,2006,117,754000,2200,482,7.6
119,Taxi Driver,1976,114,757000,1200,302,8.2
120,The Girl with the Dragon Tattoo,2011,158,438000,785,543,7.8
121,Get Out,2017,104,525000,1700,492,7.7
122,The Hobbit: The Desolation of Smaug,2013,161,619000,1000,540,7.8
123,The Grand Budapest Hotel,2014,99,740000,951,579,8.1
124,Terminator 2: Judgment Day,1991,137,100000,1300,308,8.5
125,Edge of Tomorrow,2014,113,627000,1000,634,7.9
126,Magnolia,1999,188,298000,1500,225,8.0
127,Harry Potter and the Prisoner of Azkaban,2004,142,577000,1600,299,7.9
128,Memento,2000,113,120000,2300,233,8.4
129,Arrival,2016,116,628000,2000,735,7.9
130,Captain Fantastic,2016,118,203000,542,320,7.9
131,Zodiac,2007,157,492000,884,423,7.7
132,Baby Driver,2017,113,472000,1200,595,7.6
133,The Peanut Butter Falcon,2019,97,81000,544,225,7.6
134,Green Book,2018,130,421000,1600,419,8.2
135,Eternal Sunshine of the Spotless Mind,2004,108,943000,1900,312,8.3
136,Nightcrawler,2014,117,492000,877,572,7.8
137,Dunkirk,2017,106,590000,2500,635,7.8
138,Primal Fear,1996,129,198000,350,80,7.7
139,The Good  the Bad and the Ugly,1966,178,714000,1200,145,8.8
140,What We Do in the Shadows,2014,86,166000,376,316,7.7
141,The Lord of the Rings: The Two Towers,2002,179,150000,2600,327,8.7
142,12 Angry Men,1957,96,724000,1800,159,9.0
143,Psycho,1960,109,627000,1400,246,8.5
144,Brokeback Mountain,2005,134,336000,2300,238,7.7
145,Mystic River,2003,138,435000,1000,239,7.9
146,Harry Potter and the Deathly Hallows: Part 1,2010,146,499000,740,447,7.7
147,About Time,2013,123,320000,772,283,7.8
148,Spirited Away,2001,125,688000,1400,202,8.6
149,Inside Man,2006,129,352000,758,235,7.6
150,Braveheart,1995,178,985000,1300,155,8.3
151,Die Hard,1988,132,817000,1000,214,8.2
152,The Revenant,2015,156,737000,1700,653,8.0
153,The Martian,2015,144,790000,1400,635,8.0
154,The Sandlot,1993,101,84000,206,60,7.8
155,The Breakfast Club,1985,97,370000,937,164,7.8
156,Full Metal Jacket,1987,116,698000,898,172,8.3
157,The Lion King,1994,88,978000,1000,229,8.5
158,Ex Machina,2014,108,498000,983,428,7.7
159,Captain America: Civil War,2016,147,703000,1400,673,7.8
160,The Terminator,1984,107,818000,974,247,8.0
161,Spotlight,2015,129,439000,655,508,8.1
162,One Flew Over the Cuckoo's Nest,1975,133,949000,1000,186,8.7
163,Trainspotting,1996,93,653000,649,154,8.1
164,Casino Royale,2006,144,598000,2400,189,8.0
165,City of God,2002,130,719000,1000,219,8.6
166,Mission: Impossible - Fallout,2018,147,306000,1700,473,7.7
167,Indiana Jones and the Last Crusade,1989,127,714000,623,181,8.2
168,Atonement,2007,123,261000,691,312,7.8
169,Demon Slayer: Mugen Train,2020,117,32000,304,40,8.3
170,The Hunt,2012,115,300000,491,382,8.3
171,Fargo,1996,98,640000,1000,242,8.1
172,The Pianist,2002,150,765000,995,161,8.5
173,Silver Linings Playbook,2012,122,678000,896,482,7.7
174,The Sixth Sense,1999,107,938000,2200,267,8.1
175,Star Trek Into Darkness,2013,132,471000,1200,632,7.7
176,My Cousin Vinny,1992,120,113000,288,55,7.6
177,Room,2015,118,390000,753,485,8.1
178,Oldboy,2003,120,537000,1000,342,8.4
179,Sound of Metal,2019,120,102000,547,263,7.8
180,Come and See,1985,142,67000,574,131,8.3
181,Donnie Darko,2001,113,761000,2300,382,8.0
182,Into the Wild,2007,148,592000,1000,250,8.1
183,The Big Short,2015,130,386000,605,489,7.8
184,Logan,2017,137,682000,1600,651,8.1
185,Captain America: The Winter Soldier,2014,136,772000,1000,620,7.7
186,The Truman Show,1998,103,982000,1200,250,8.1
187,Coco,2017,105,426000,1200,416,8.4
188,Harry Potter and the Half-Blood Prince,2009,153,496000,1100,400,7.6
189,Home Alone,1990,103,505000,511,103,7.6
190,Drive,2011,100,592000,1600,716,7.8
191,Cast Away,2000,143,548000,1200,108,7.8
192,La La Land,2016,128,533000,1900,708,8.0
193,Moneyball,2011,133,388000,467,437,7.6
194,A Star Is Born,2018,136,353000,2700,465,7.6
195,Hacksaw Ridge,2016,139,463000,996,477,8.1
196,2001: A Space Odyssey,1968,149,626000,2300,281,8.3
197,The Machinist,2004,101,369000,570,217,7.7
198,The Deer Hunter,1978,183,323000,1100,142,8.1
199,Zootopia,2016,108,455000,786,485,8.0
200,Stardust,2007,127,262000,598,237,7.6
201,Sin City,2005,124,748000,1800,390,8.0
202,A Few Good Men,1992,138,245000,432,93,7.7
203,The Thing,1982,109,388000,1200,366,8.1
204,Three Billboards Outside Ebbing  Missouri,2017,115,462000,1200,571,8.1
205,Her,2013,126,564000,1100,630,8.0
206,American History X,1998,119,110000,1600,128,8.5
207,The Intouchables,2011,112,792000,711,332,8.5
208,Ratatouille,2007,111,666000,804,332,8.0
209,V for Vendetta,2005,132,110000,2300,203,8.1
210,The Handmaiden,2016,145,126000,283,344,8.1
211,Life Is Beautiful,1997,116,648000,1300,159,8.6
212,Changeling,2008,141,246000,470,280,7.7
213,Apocalypto,2006,139,298000,1200,298,7.8
214,Unforgiven,1992,130,390000,639,134,8.2
215,Blood Diamond,2006,143,516000,752,183,8.0
216,The Notebook,2004,123,538000,1300,145,7.8
217,Once Upon a Time in America,1984,229,326000,727,137,8.4
218,Gone Baby Gone,2007,114,261000,617,270,7.6
219,Creed,2015,133,257000,554,506,7.6
220,Star Wars: Episode VI - Return of the Jedi,1983,131,982000,900,208,8.3
221,Kick-Ass,2010,117,538000,870,474,7.6
222,The Exorcist,1973,122,375000,1300,225,8.0
223,Predator,1987,107,385000,857,276,7.8
224,Midnight in Paris,2011,94,401000,685,535,7.7
225,The Graduate,1967,106,262000,791,196,8.0
226,Hot Fuzz,2007,121,480000,878,304,7.8
227,Memories of Murder,2003,132,156000,326,173,8.1
228,The Social Network,2010,120,650000,955,438,7.7
229,Star Wars: Episode VII - The Force Awakens,2015,138,882000,4900,912,7.8
230,Dead Poets Society,1989,128,446000,703,113,8.1
231,Argo,2012,120,588000,841,678,7.7
232,The Trial of the Chicago 7,2020,129,155000,651,294,7.8
233,Willy Wonka & the Chocolate Factory,1971,100,187000,437,102,7.8
234,Minority Report,2002,145,524000,1400,267,7.6
235,Star Wars: Episode V - The Empire Strikes Back,1980,124,120000,1300,237,8.7
236,Rear Window,1954,112,462000,926,172,8.5
237,Big Fish,2003,125,426000,909,253,8.0
238,The Curious Case of Benjamin Button,2008,166,610000,1000,323,7.8
239,Casino,1995,178,485000,693,115,8.2
240,Your Name.,2016,106,221000,853,238,8.4
241,As Good as It Gets,1997,139,285000,575,136,7.7
242,The Thin Red Line,1998,170,179000,1500,182,7.6
243,Wind River,2017,107,220000,683,385,7.7
244,Office Space,1999,89,250000,684,119,7.7
245,The Wizard of Oz,1939,102,379000,746,177,8.0
246,Saw,2004,103,395000,1600,234,7.6
247,Blazing Saddles,1974,93,131000,449,107,7.7
248,The Perks of Being a Wallflower,2012,103,479000,707,392,7.9
249,Rush,2013,123,450000,620,428,8.1
250,Marriage Story,2019,137,269000,1300,353,7.9
251,The Incredibles,2004,115,678000,984,244,8.0
252,Halloween,1978,91,242000,1500,441,7.7
253,Road to Perdition,2002,117,256000,1000,215,7.7
254,Scent of a Woman,1992,156,277000,455,61,8.0
255,Incendies,2010,131,160000,286,248,8.3
256,Skyfall,2012,143,646000,1600,529,7.7
257,The Bourne Identity,2002,119,522000,948,255,7.9
258,The Imitation Game,2014,114,713000,907,493,8.0
259,Rocky,1976,120,537000,751,195,8.1
260,Monsters  Inc.,2001,92,846000,734,249,8.1
261,American Gangster,2007,157,404000,533,306,7.8
262,Training Day,2001,122,407000,751,123,7.7
263,The Godfather: Part III,1990,162,373000,739,132,7.6
264,Pan's Labyrinth,2006,118,636000,1300,463,8.2
265,A Beautiful Mind,2001,135,877000,1300,157,8.2
266,E.T. the Extra-Terrestrial,1982,115,386000,650,264,7.8
267,L.A. Confidential,1997,138,549000,763,143,8.2
268,Gran Torino,2008,116,739000,1000,376,8.1
269,Back to the Future Part II,1989,108,499000,462,149,7.8
270,Platoon,1986,120,394000,642,143,8.1
271,Lock  Stock and Two Smoking Barrels,1998,107,553000,614,118,8.2
272,Warrior,2011,140,448000,750,345,8.1
273,Hidden Figures,2016,127,211000,555,434,7.8
274,Black Hawk Down,2001,144,375000,1100,222,7.7
275,Howl's Moving Castle,2004,119,354000,495,253,8.2
276,Edward Scissorhands,1990,105,459000,710,115,7.9
277,12 Years a Slave,2013,134,662000,930,490,8.1
278,Inside Out,2015,95,649000,1100,597,8.1
279,The Help,2011,146,438000,616,303,8.0
280,Little Miss Sunshine,2006,101,453000,988,249,7.8
281,Blue Is the Warmest Colour,2013,180,144000,363,448,7.7
282,Toy Story 4,2019,100,220000,1300,395,7.7
283,500 Days of Summer,2009,95,486000,674,355,7.7
284,Amadeus,1984,160,381000,679,126,8.3
285,Dallas Buyers Club,2013,117,459000,430,401,8.0
286,Vertigo,1958,128,380000,959,200,8.3
287,Children of Men,2006,109,477000,1400,330,7.9
288,The Sound of Music,1965,172,215000,523,141,8.0
289,Dances with Wolves,1990,181,249000,505,88,8.0
290,Tangled,2010,100,421000,525,346,7.7
291,Shrek,2001,90,636000,1100,176,7.9
292,Chinatown,1974,130,308000,579,160,8.2
293,The Magnificent Seven,1960,128,91000,307,137,7.7
294,Train to Busan,2016,118,184000,880,396,7.6
295,Zombieland,2009,88,539000,752,495,7.6
296,Wonder,2017,113,152000,540,240,8.0
297,The Blind Side,2009,129,305000,546,278,7.6
298,Manchester by the Sea,2016,137,260000,870,510,7.8
299,The Invisible Guest,2016,106,159000,511,71,8.1
300,Fantastic Mr. Fox,2009,87,211000,360,351,7.9
301,Casablanca,1942,102,540000,1400,210,8.5
302,Amélie,2001,122,722000,1500,146,8.3
303,Toy Story,1995,81,922000,686,166,8.3
304,The Florida Project,2017,111,102000,529,381,7.6
305,Kill Bill: Vol. 2,2004,137,710000,1000,310,8.0
306,Despicable Me,2010,95,515000,391,191,7.6
307,Lost in Translation,2003,102,431000,2000,288,7.7
308,Taken,2008,90,578000,1100,276,7.8
309,Airplane!,1980,88,223000,551,137,7.7
310,The Fugitive,1993,130,277000,366,137,7.8
311,Finding Nemo,2003,100,980000,1000,156,8.1
312,Million Dollar Baby,2004,132,655000,1200,270,8.1
313,Crash,2004,112,427000,1700,290,7.7
314,Moonrise Kingdom,2012,94,330000,474,512,7.8
315,Just Mercy,2019,137,55000,438,212,7.6
316,Portrait of a Lady on Fire,2019,122,76000,424,286,8.1
317,Only the Brave,2017,134,63000,234,180,7.6
318,The Outlaw Josey Wales,1976,135,69000,240,55,7.8
319,District 9,2009,112,652000,1400,500,7.9
320,Hunt for the Wilderpeople,2016,101,119000,320,227,7.9
321,Flipped,2010,90,86000,206,80,7.7
322,Birdman or (The Unexpected Virtue of Ignorance),2014,119,598000,1400,635,7.7
323,The Last of the Mohicans,1992,112,158000,486,90,7.7
324,Remember the Titans,2000,113,204000,465,134,7.8
325,Hell or High Water,2016,102,213000,474,309,7.6
326,Up,2009,96,970000,992,423,8.2
327,Sherlock Holmes,2009,128,600000,730,428,7.6
328,Before Sunrise,1995,101,285000,555,158,8.1
329,Capharnaüm,2018,126,73000,429,194,8.4
330,Giant,1956,201,37000,192,120,7.6
331,The Others,2001,104,349000,1200,167,7.6
332,Dark Waters,2019,126,71000,449,227,7.6
333,WALL·E,2008,98,100000,1300,274,8.4
334,Grave of the Fireflies,1988,89,250000,846,134,8.5
335,Who Framed Roger Rabbit,1988,104,190000,311,147,7.7
336,X-Men: First Class,2011,131,661000,804,532,7.7
337,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,466000,1000,235,8.4
338,The Untouchables,1987,119,293000,553,145,7.9
339,Rain Man,1988,133,488000,478,101,8.0
340,Apollo 13,1995,140,279000,419,165,7.6
341,The Lives of Others,2006,137,371000,534,227,8.4
342,Deliverance,1972,109,103000,426,145,7.7
343,Shaun of the Dead,2004,99,529000,1000,279,7.9
344,Seven Samurai,1954,207,327000,767,143,8.6
345,Lion,2016,118,223000,590,363,8.0
346,Gone with the Wind,1939,238,300000,920,203,8.1
347,3 Idiots,2009,170,365000,825,60,8.4
348,The Warriors,1979,92,97000,494,153,7.6
349,How to Train Your Dragon,2010,98,690000,673,195,8.1
350,Dark City,1998,100,193000,723,229,7.6
351,O Brother  Where Art Thou?,2000,107,297000,944,108,7.7
352,12 Monkeys,1995,129,594000,700,201,8.0
353,Serenity,2005,119,288000,1600,208,7.8
354,Slumdog Millionaire,2008,120,816000,1200,420,8.0
355,Princess Mononoke,1997,134,362000,758,209,8.4
356,The Blues Brothers,1980,133,189000,446,120,7.9
357,X-Men: Days of Future Past,2014,132,677000,856,576,7.9
358,Walk the Line,2005,136,240000,919,272,7.8
359,Once Upon a Time in the West,1968,165,313000,768,155,8.5
360,Life of Pi,2012,127,598000,963,575,7.9
361,The Royal Tenenbaums,2001,110,275000,1000,232,7.6
362,Coraline,2009,100,207000,432,340,7.7
363,What's Eating Gilbert Grape,1993,118,224000,385,93,7.7
364,The Fault in Our Stars,2014,126,355000,727,340,7.7
365,First Blood,1982,93,237000,517,207,7.7
366,Do the Right Thing,1989,120,95000,524,114,8.0
367,Incredibles 2,2018,118,267000,1100,404,7.6
368,Cool Hand Luke,1967,127,169000,361,136,8.1
369,Blue Velvet,1986,120,188000,786,237,7.7
370,The Pursuit of Happyness,2006,117,470000,864,194,8.0
371,True Grit,2010,110,321000,836,532,7.6
372,Downfall,2004,156,341000,662,114,8.2
373,Citizen Kane,1941,119,420000,1500,269,8.3
374,A Bronx Tale,1993,121,133000,237,56,7.8
375,Mary Poppins,1964,139,163000,347,111,7.8
376,The Skin I Live In,2011,120,144000,222,430,7.6
377,The Last Samurai,2003,154,413000,1000,173,7.7
378,Gattaca,1997,106,289000,792,181,7.8
379,Man on Fire,2004,146,339000,815,158,7.7
380,My Fair Lady,1964,170,90000,358,108,7.8
381,Misery,1990,107,194000,442,177,7.8
382,Sense and Sensibility,1995,136,108000,264,58,7.7
383,Moon,2009,97,344000,662,453,7.8
384,The Bourne Ultimatum,2007,115,615000,919,337,8.0
385,Fear and Loathing in Las Vegas,1998,118,268000,736,159,7.6
386,The Butterfly Effect,2004,113,464000,1200,181,7.6
387,Monty Python and the Holy Grail,1975,91,515000,801,110,8.2
388,In the Mood for Love,2000,98,135000,454,26,8.1
389,Gravity,2013,91,789000,2100,791,7.7
390,The Birds,1963,119,178000,595,179,7.7
391,Y Tu Mamá También,2001,106,119000,413,173,7.6
392,Close Encounters of the Third Kind,1977,138,191000,475,243,7.6
393,Sling Blade,1996,135,91000,338,93,8.0
394,Barry Lyndon,1975,185,157000,500,115,8.1
395,Boyz n the Hood,1991,112,132000,253,82,7.8
396,Big Hero 6,2014,102,427000,591,421,7.8
397,The Bourne Supremacy,2004,108,445000,875,252,7.7
398,Aladdin,1992,90,385000,361,157,8.0
399,Empire of the Sun,1987,153,120000,368,70,7.7
400,Captain Phillips,2013,134,436000,669,516,7.8
401,Rosemary's Baby,1968,137,203000,605,272,8.0
402,It's a Wonderful Life,1946,130,420000,1000,185,8.6
403,Mulan,1998,88,267000,366,130,7.6
404,The Count of Monte Cristo,2002,131,133000,619,116,7.7
405,The Boondock Saints,1999,108,232000,967,114,7.7
406,Planet of the Apes,1968,112,171000,468,169,8.0
407,Mr. Nobody,2009,141,223000,449,143,7.8
408,A Fistful of Dollars,1964,99,206000,325,116,8.0
409,Wreck-It Ralph,2012,101,394000,469,404,7.7
